Id,AB_Thorn,AB_W_Thorn,Nar,Cal,cal_riosu_zr, Na_un_cusal,Na_un_cusba,srtm,slope,intDrain,extDrain,effDepth,trmm_0,trmm_1,trmm_2,trmm_3,tempAvg_0,tempRang_0,PrecAcc_0,tempAvg_1,tempRang_1,PrecAcc_1,tempAvg_2,tempRang_2,PrecAcc_2,tempAvg_3,tempRang_3,PrecAcc_3,Yield
309,1,0,0,1,0,0,0,2058,16,3,2,41,1.4694094,2.858602567,2.564875533,4.8050539,17.4,9.3,162,17.6,9.2,202,174,93,161,172,92,148,0.16071
310,1,1,0,0,0,0,1,2307,36,2,3,70,3.903979867,2.917317467,1.2237038,1.247233167,14.3,7.3,359,14.6,8,248,147,81,204,149,84,197,0.16429
311,1,0,0,1,0,0,0,2051,11,3,2,67,3.466876267,1.3041268,6.0431731,3.364,17.1,9.1,201,17,9.3,163,167,91,149,167,92,149,0.16667
312,1,0,0,1,0,0,0,2040,8,3,2,63,0.8295462,6.2721453,3.698,10.16289523,17.4,9.3,161,17.2,9.2,148,171,92,145,166,86,211,0.16667
313,1,0,0,0,0,1,0,2146,15,3,2,70,6.146,7.802775733,10.7557842,6.078865733,15.5,9.2,165,15.2,8.6,227,153,86,315,155,95,274,0.16964
314,1,0,0,1,0,0,0,2058,16,3,2,41,1.4639445,2.991369667,2.985789233,0.4490539,17.3,9.7,54,17.4,9.3,162,176,92,202,174,93,161,0.17262
315,1,1,0,0,0,0,1,2307,36,2,3,70,3.467805067,3.894923967,3.681143333,4.69856237,14.8,7.6,224,14.9,7.2,333,142,75,314,150,79,233,0.18095
316,1,1,0,0,0,0,1,2307,36,2,3,70,5.443573763,2.167143333,0.484059133,3.352851,14.2,7.5,314,15,7.9,233,148,81,164,145,80,131,0.18095
317,1,1,0,0,0,0,1,2307,36,2,3,70,2.813581467,1.3125403,1.636085967,2.9168064,14.6,8,248,14.7,8.1,204,149,84,197,148,76,224,0.1881
318,1,1,0,0,0,0,1,2307,36,2,3,70,0.534587333,3.4449317,1.725711397,4.740146933,14.8,8.1,164,14.5,8,131,144,76,187,143,74,294,0.19388
319,1,0,0,1,0,0,0,2051,11,3,2,67,1.517618,4.7677761,3.468,7.483230533,17,9.3,163,16.7,9.1,149,167,92,149,163,86,214,0.19643
320,1,0,0,1,0,0,0,2051,11,3,2,67,3.546941767,0.4490539,6.348,6.654,17.1,9.1,201,17,9.3,163,167,91,149,167,92,149,0.20238
321,1,0,0,1,0,0,0,2058,16,3,2,41,1.858177233,3.979479267,0.7303236,6.248,17.4,9.3,162,17.6,9.2,202,174,93,161,172,92,148,0.20238
322,1,1,0,0,0,0,1,2307,36,2,3,70,1.4509891,4.008026667,4.7970986,2.961126137,14.9,8.4,197,14.8,7.6,224,149,72,333,142,75,314,0.20476
323,1,0,0,0,0,1,0,2146,15,3,2,70,6.348,7.05,10.1814147,8.134010967,15.5,8.9,161,15.5,9.2,165,152,86,227,153,86,315,0.20536
324,1,0,0,0,0,1,0,1892,12,3,2,29,4.064582967,0.7303236,6.248,3.836,17.7,9.1,204,17.6,9.3,161,172,91,146,171,91,143,0.20779
325,1,1,0,0,0,0,1,2307,36,2,3,70,1.153097667,3.406423733,1.835415797,5.083606533,14.8,8.1,164,14.5,8,131,144,76,187,143,74,294,0.21429
326,1,1,0,0,0,0,1,2307,36,2,3,70,1.571172597,4.988865433,4.342229967,2.916058067,14.4,7.6,187,14.3,7.4,294,143,73,359,146,80,248,0.21905
327,1,1,0,0,0,0,1,2307,36,2,3,70,2.023279833,2.313193067,2.344093397,5.4789364,14.8,8.1,164,14.5,8,131,144,76,187,143,74,294,0.22381
328,1,1,0,0,0,0,1,2307,36,2,3,70,2.473164767,1.554052767,1.1462866,3.789316867,14.6,8,248,14.7,8.1,204,149,84,197,148,76,224,0.22381
329,1,1,0,0,0,0,1,2307,36,2,3,70,2.05965613,3.012508667,5.817395433,2.8541115,14.5,8,131,14.4,7.6,187,143,74,294,143,73,359,0.22619
330,1,1,0,0,0,0,1,2307,36,2,3,70,1.159302133,2.023279833,2.413778367,2.965743163,15,7.9,233,14.8,8.1,164,145,80,131,144,76,187,0.23095
331,1,1,0,0,0,0,1,2307,36,2,3,70,1.678501397,3.527466167,5.837297633,2.903907367,14.4,7.6,187,14.3,7.4,294,143,73,359,146,80,248,0.23095
332,1,0,0,1,0,0,0,2051,11,3,2,67,4.064582967,0.7303236,6.248,3.836,17.1,9.1,201,17,9.3,163,167,91,149,167,92,149,0.23214
333,1,0,0,0,0,1,0,2146,15,3,2,70,6.248,4.596,10.51672053,9.1327058,15.5,8.9,161,15.5,9.2,165,152,86,227,153,86,315,0.23214
334,1,0,0,1,0,0,0,2058,16,3,2,41,1.6196872,1.858177233,3.979479267,0.7303236,17.3,9.7,54,17.4,9.3,162,176,92,202,174,93,161,0.2381
335,1,0,0,0,0,1,0,1892,12,3,2,29,1.858177233,3.979479267,0.7303236,6.248,17.6,9.2,171,17.7,9.1,204,176,93,161,172,91,146,0.24675
336,1,1,0,0,0,0,1,2307,36,2,3,70,0.505885133,3.044595,1.852282097,3.383248567,15,7.9,233,14.8,8.1,164,145,80,131,144,76,187,0.25
337,1,1,0,0,0,0,1,2307,36,2,3,70,2.646952867,1.3789345,1.023490667,3.530178667,14.6,8,248,14.7,8.1,204,149,84,197,148,76,224,0.25238
338,1,1,0,0,0,0,1,2307,36,2,3,70,5.2650614,2.840483367,1.2854127,1.617256367,14.3,7.3,359,14.6,8,248,147,81,204,149,84,197,0.25952
339,0,0,0,1,0,0,0,1958,13,3,2,66,1.4639445,2.991369667,2.985789233,0.4490539,17.3,9.7,54,17.4,9.3,162,176,92,202,174,93,161,0.2619
